id,ano,dept,municipio,presuntoRes,desPresuntoRes,num
1780,1983,Antioquia,SAN PEDRO DE URAB?,Guerrilla,EPL,2
2047,1985,QUINDIO,G�NOVA,Guerrilla,M-19,19
2693,1987,Huila,ISNOS,Guerrilla,Quint�n Lame,7
3350,1988,Santander,CARCAS?,Guerrilla,ELN,2
5860,1992,Cesar,GONZ?LEZ,Grupo Armado No Dirimido,,0
6852,1992,Norte de Santander,TEORAMA,Guerrilla,FARC,3
8127,1994,Antioquia,ANGOSTURA,Guerrilla,FARC,5
10902,1997,Chocó,BAGAD?,Guerrilla,ELN,6
11932,1997,Santander,MOGOTES,Guerrilla,ELN,6
13041,1999,Boyacá,TASCO,Guerrilla,FARC,0
13199,1999,Norte de Santander,SARDINATA,Guerrilla,ELN,1
13865,1999,Tolima,SANTA ISABEL,Guerrilla,ELN,1
13973,2000,Cauca,SU?REZ,Guerrilla,FARC,1
16540,2001,Cauca,ALMAGUER,Guerrilla,FARC,1
16549,2001,Caquetá,LA MONTA�ITA,Guerrilla,FARC,1
24926,2006,Tolima,CASABIANCA,Guerrilla,FARC,0
34578,0,SIN INFORMACION,SIN INFORMACION,Guerrilla,M-19,2
34579,0,Putumayo,SAN MIGUEL,Guerrilla,FARC,12
34580,1958,Cauca,TORIB?O,Bandolerismo,No identificado,24
34581,1961,Meta,PUERTO L?PEZ,Bandolerismo,No Identificado,2
34583,1965,Santander,SIMACOTA,Guerrilla,ELN,7
34584,1965,Cauca,INZ?,Guerrilla,FARC,2
34585,1970,Antioquia,ITUANGO,Guerrilla,No Identificada,0
34586,1971,Cesar,GAMARRA,Guerrilla,ELN,0
34587,1972,Bolívar,SAN PABLO,Guerrilla,ELN,1
34588,1972,Bolívar,SAN PABLO,Guerrilla,ELN,2
34589,1972,Antioquia,REMEDIOS,Guerrilla,ELN,1
34590,1975,Bolívar,MORALES,Desconocido,No aplica,0
34592,1976,Bolívar,SIMIT?,Guerrilla,ELN,3
34594,1977,Huila,TELLO,Guerrilla,FARC,0
34595,1978,Meta,VISTAHERMOSA,Guerrilla,FARC,1
34596,1978,Córdoba,MONTEL?BANO,Guerrilla,FARC,1
34597,1978,Córdoba,MONTEL?BANO,Guerrilla,EPL,0
34598,1978,Córdoba,TIERRALTA,Guerrilla,EPL,1
34599,1979,Huila,ACEVEDO,Guerrilla,FARC,4
34600,1979,Antioquia,URAMITA,Guerrilla,FARC,0
34601,1981,SIN INFORMACION,SIN INFORMACION,Guerrilla,M-19,6
