id,ano,dept,MUNINICIO_CASO,presuntoRes,desPresuntoRes,num
20575,2003,Antioquia,PE�OL,Desconocido,No aplica,4
20713,2003,Valle del Cauca,CALI,Desconocido,No aplica,3
30323,2012,Nariño,EL CHARCO,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,0
33511,2013,Cauca,INZ?,Guerrilla,FARC,8
97544,2000,Córdoba,MONTER?A,Grupo Paramilitar,No Identificado,1
185266,1977,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,0
185267,1978,Caquetá,FLORENCIA,Guerrilla,M-19,0
185268,1982,Valle del Cauca,CALI,Guerrilla,M-19,0
185269,1991,Caldas,MANIZALES,Guerrilla,,4
185271,1989,Cundinamarca,SOACHA,Grupo Paramilitar,No Identificado,107
185272,1998,Santander,BUCARAMANGA,Guerrilla,Disidencia EPL,0
185273,1976,"Bogotá D.C.","Bogotá D.C.",Guerrilla,EPL,0
185274,1978,"Bogotá D.C.","Bogotá D.C.",Guerrilla,EPL,0
185275,1978,"Bogotá D.C.","Bogotá D.C.",Guerrilla,EPL,0
185276,1978,Santander,BUCARAMANGA,Desconocido,No aplica,0
185277,1978,Cauca,POPAY?N,Otro,,1
185278,1978,Córdoba,PLANETA RICA,Desconocido,No aplica,1
185279,1979,"Bogotá D.C.","Bogotá D.C.",Guerrilla,ELN,0
185280,1979,Valle del Cauca,CALI,Guerrilla,EPL,0
185281,1981,Valle del Cauca,ANSERMANUEVO,Desconocido,No aplica,4
185282,1981,"Bogotá D.C.","Bogotá D.C.",Guerrilla,ELN,1
185283,1984,"Bogotá D.C.","Bogotá D.C.",Guerrilla,FARC,0
185284,1985,Risaralda,DOSQUEBRADAS,Guerrilla,Otra Disidencia,4
185285,1985,Antioquia,MEDELL?N,Guerrilla,ELN,0
185286,1985,Antioquia,MEDELL?N,Desconocido,No aplica,0
185287,1987,Atlántico,BARRANQUILLA,Guerrilla,Coordinadora Nacional Guerrillera,13
185288,1987,"Bogotá D.C.","Bogotá D.C.",Desconocido,No aplica,1
185289,1989,Santander,BUCARAMANGA,Guerrilla,No Identificada,3
185290,1989,"Bogotá D.C.","Bogotá D.C.",Otro,,63
185291,1990,Antioquia,MEDELL?N,Grupo Armado No Identificado,No aplica,14
185292,1992,"Bogotá D.C.","Bogotá D.C.",Guerrilla,ELN,1
185293,1992,Valle del Cauca,CALI,Guerrilla,FARC,3
185294,1992,Antioquia,MEDELL?N,Desconocido,No aplica,9
185295,1992,"Bogotá D.C.","Bogotá D.C.",Guerrilla,ELN,0
185296,1993,Santander,BARRANCABERMEJA,Guerrilla,No Identificada,16
185297,1995,Antioquia,MEDELL?N,Guerrilla,FARC,23
185299,1995,"Bogotá D.C.","Bogotá D.C.",Guerrilla,FARC,0
185300,1995,"Bogotá D.C.","Bogotá D.C.",Grupo Armado No Identificado,No aplica,2
185301,1996,Antioquia,MEDELL?N,Guerrilla,ELN,1
185302,1996,Córdoba,MONTER?A,Guerrilla,FARC,0
185303,1996,Antioquia,MEDELL?N,Grupo Armado No Identificado,No aplica,1
185304,1996,Córdoba,MONTER?A,Guerrilla,FARC,4
185305,1997,Córdoba,MONTER?A,Guerrilla,No Identificada,0
185306,1997,Norte de Santander,C?CUTA,Guerrilla,ELN,1
185307,1997,Antioquia,MEDELL?N,Guerrilla,FARC,0
185308,1997,Antioquia,ANOR?,Guerrilla,No Identificada,20
185309,1998,Cundinamarca,VIOT?,Guerrilla,No Identificada,1
185310,1998,Cundinamarca,VIOT?,Guerrilla,FARC,1
185311,1998,Antioquia,MEDELL?N,Guerrilla,ELN,4
185312,1998,La Guajira,RIOHACHA,Desconocido,No aplica,1
185313,1998,Sucre,SAN ONOFRE,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
185314,1999,"Bogotá D.C.","Bogotá D.C.",Desconocido,No aplica,0
185315,1999,Antioquia,MEDELL?N,Guerrilla,ELN,9
185316,1999,Córdoba,MONTER?A,Guerrilla,FARC,0
185317,1999,Antioquia,MEDELL?N,Guerrilla,ELN,0
185318,1999,Putumayo,VALLE DEL GUAMUEZ,Guerrilla,FARC,6
185319,1999,"Bogotá D.C.","Bogotá D.C.",Otro,,0
185320,2000,"Bogotá D.C.","Bogotá D.C.",Guerrilla,FARC,1
185321,2000,Cundinamarca,GIRARDOT,Grupo Armado No Identificado,No aplica,1
185322,2000,Cundinamarca,CACHIPAY,Guerrilla,FARC,3
185323,2000,Cundinamarca,CACHIPAY,Guerrilla,FARC,3
185324,2000,Santander,BARRANCABERMEJA,Guerrilla,ELN,2
185325,2000,Valle del Cauca,CALI,Guerrilla,ELN,1
185326,2000,Putumayo,PUERTO AS?S,Guerrilla,FARC,2
185328,2000,Antioquia,GRANADA,Guerrilla,FARC,22
185329,2001,Antioquia,SAN FRANCISCO,Guerrilla,ELN,3
185330,2001,Antioquia,MARINILLA,Guerrilla,ELN,1
185331,2001,Antioquia,SAN RAFAEL,Guerrilla,FARC,3
185332,2001,Antioquia,PE�OL,Guerrilla,ELN,6
185333,2002,"Bogotá D.C.","Bogotá D.C.",Guerrilla,FARC,6
185335,2002,Meta,PUERTO LLERAS,Guerrilla,FARC,6
185336,2002,Guaviare,CALAMAR,Grupo Armado No Identificado,No aplica,4
185337,2002,Vichada,PUERTO CARRE�O,Guerrilla,FARC,6
185338,2002,Meta,FUENTE DE ORO,Guerrilla,FARC,0
185339,2002,Meta,VILLAVICENCIO,Guerrilla,FARC,10
185340,2002,Atlántico,BARRANQUILLA,Guerrilla,FARC,4
185341,2002,Valle del Cauca,JAMUND?,Grupo Paramilitar,No Identificado,3
185342,2002,Antioquia,LA PINTADA,Guerrilla,FARC,1
185343,2002,Antioquia,LA PINTADA,Guerrilla,FARC,1
185344,2002,Antioquia,CHIGOROD?,Guerrilla,FARC,9
185345,2002,Cauca,MIRANDA,Guerrilla,FARC,1
185346,2002,Antioquia,GUADALUPE,Guerrilla,FARC,0
185347,2002,Cundinamarca,SAN JUAN DE RIOSECO,Guerrilla,FARC,3
185348,2002,Caquetá,SAN VICENTE DEL CAGU?N,Guerrilla,FARC,0
185349,2002,Arauca,TAME,Guerrilla,FARC,0
185350,2002,Risaralda,DOSQUEBRADAS,Grupo Armado No Identificado,No aplica,2
185351,2002,Arauca,SARAVENA,Guerrilla,FARC,4
185352,2002,Arauca,ARAUQUITA,Guerrilla,No Identificada,1
185353,2002,Bolívar,EL CARMEN DE Bolívar,Guerrilla,FARC,0
185354,2002,Cundinamarca,GRANADA,Guerrilla,FARC,0
185355,2002,Arauca,Arauca,Guerrilla,FARC,2
185356,2002,Atlántico,BARRANQUILLA,Guerrilla,FARC,0
185357,2002,Norte de Santander,C?CUTA,Guerrilla,ELN,0
185358,2002,Cundinamarca,CUCUNUB?,Guerrilla,ELN,0
185359,2002,Magdalena,SANTA MARTA,Guerrilla,FARC,2
185360,2002,Huila,NEIVA,Guerrilla,FARC,1
185361,2003,Arauca,FORTUL,Guerrilla,FARC,4
185362,2003,Antioquia,MEDELL?N,Guerrilla,FARC,5
