id,ano,dept,municipio,Modalidad,presuntoRes,desPresuntoRes,num
61596,1995,Antioquia,DABEIBA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
61964,1993,Antioquia,EB�JICO,Ataque a Propiedad,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,0
98013,2000,Córdoba,MOMIL,Ataque a Propiedad,Grupo Armado No Identificado,No aplica,0
121948,2002,Norte de Santander,TOLEDO,Quema de Veh�culos,Grupo Paramilitar,No Identificado,0
130005,1992,Sucre,GUARANDA,Ataque a Propiedad,Grupo Paramilitar,No Identificado,0
170202,1992,Santander,BARRANCABERMEJA,Ataque a Propiedad,Desconocido,No aplica,0
172213,2000,Sucre,SAN ONOFRE,Ataque a Propiedad,Guerrilla,FARC,0
185469,1977,"Bogotá D.C.","Bogotá D.C.",Ataque a Propiedad,Guerrilla,M-19,0
185470,1978,Valle del Cauca,CALI,Quema de Veh�culos,Guerrilla,M-19,0
185471,1985,Valle del Cauca,RIOFR?O,Quema de Veh�culos,Guerrilla,M-19,0
185472,1998,"Bogotá D.C.","Bogotá D.C.",Ataque a Propiedad,Guerrilla,No Identificada,0
185473,1998,"Bogotá D.C.","Bogotá D.C.",Ataque a Propiedad,Guerrilla,No Identificada,0
185474,1998,Tolima,VILLARRICA,Quema de Veh�culos,Guerrilla,No Identificada,0
185475,1998,Tolima,VILLARRICA,Quema de Veh�culos,Guerrilla,No Identificada,0
185477,0,SIN INFORMACION,SIN INFORMACION,Acci�n B�lica,Guerrilla,M-19,0
185478,1976,Valle del Cauca,CALI,Ataque a Propiedad,Guerrilla,M-19,0
185479,1977,"Bogotá D.C.","Bogotá D.C.",Ataque a Propiedad,Guerrilla,M-19,0
185480,1978,Valle del Cauca,YUMBO,Ataque a Propiedad,Guerrilla,M-19,0
185481,1978,Risaralda,PEREIRA,Sabotaje,Guerrilla,M-19,0
185482,1978,Valle del Cauca,YUMBO,Ataque a Propiedad,Guerrilla,M-19,0
185483,1978,Valle del Cauca,YUMBO,Ataque a Propiedad,Guerrilla,M-19,0
185484,1978,Valle del Cauca,YUMBO,Ataque a Instituciones,Guerrilla,M-19,0
185485,1978,Risaralda,DOSQUEBRADAS,Sabotaje,Guerrilla,M-19,0
185486,1978,Santander,BUCARAMANGA,Ataque a Instituciones,Guerrilla,M-19,0
185487,1979,Magdalena,SANTA MARTA,Ataque a Propiedad,Guerrilla,M-19,0
185488,1979,Antioquia,MEDELL?N,Quema de Veh�culos,Guerrilla,M-19,0
185489,1979,"Bogotá D.C.","Bogotá D.C.",Quema de Veh�culos,Guerrilla,M-19,0
