id,ano,dept,municipio,Modalidad,presuntoRes,desPresuntoRes,num
4986,1991,Putumayo,MOCOA,Falso Positivo,Agente del Estado,Ej�rcito Nacional - Polic�a Nacional,7
11364,1997,Magdalena,CI�NAGA,Ret�n,Guerrilla,ELN,4
12727,1998,Putumayo,SAN MIGUEL,Falso Positivo,Agente del Estado,Ej�rcito Nacional,6
18840,2002,La Guajira,MAICAO,Falso Positivo,Agente del Estado - Grupo Paramilitar,,4
48084,2003,Antioquia,MEDELL?N,Sicariato,Grupo Paramilitar,No Identificado,4
50556,1994,Antioquia,MEDELL?N,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,4
51724,1999,Antioquia,ABEJORRAL,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,4
52040,2000,Antioquia,AMAG?,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,6
53273,1996,Antioquia,APARTAD?,Ruta,Grupo Paramilitar,No Identificado,4
55333,2003,Antioquia,ARGELIA,Falso Positivo,Agente del Estado - Grupo Paramilitar,,4
55965,1993,Antioquia,BELLO,Desconocida,Grupo Paramilitar,No Identificado,4
56759,1993,Antioquia,BELLO,Ataque Indiscriminado,Grupo Armado No Identificado,No aplica,4
57190,1986,Antioquia,CIUDAD Bolívar,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,7
58548,1993,Antioquia,CAREPA,Retenci�n/Ejecuci�n,Guerrilla,Disidencia EPL,5
60353,1996,Antioquia,CHIGOROD?,Asalto,Grupo Paramilitar,No Identificado,6
60935,1994,Antioquia,COCORN?,Asalto,Grupo Paramilitar,Autodefensas Campesinas del Magdalena Medio,4
61426,1997,Antioquia,DABEIBA,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,6
61750,1997,Antioquia,DABEIBA,Asalto,Grupo Paramilitar,No Identificado,4
62849,2003,Antioquia,G?MEZ PLATA,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,7
66184,1997,Antioquia,MUTAT?,Ruta,Grupo Paramilitar,No Identificado,7
70159,1994,Antioquia,SAN LUIS,Ret�n,Guerrilla,No Identificada,4
70307,1993,Antioquia,SAN LUIS,Ruta,Grupo Paramilitar,Autodefensas Campesinas del Magdalena Medio,4
70575,1993,Antioquia,SAN PEDRO DE URAB?,Asalto,Grupo Paramilitar,No Identificado,4
71135,1996,Antioquia,SAN ROQUE,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,6
71489,1997,Antioquia,SANTA ROSA DE OSOS,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,4
71695,2001,Antioquia,SANTO DOMINGO,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,4
73440,1997,Antioquia,TARAZ?,Sicariato,Guerrilla,FARC,5
74215,1993,Antioquia,TURBO,Asalto,Guerrilla,FARC,4
75117,1996,Antioquia,TURBO,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,6
75119,1996,Antioquia,TURBO,Asalto,Grupo Armado No Identificado,No aplica,4
75907,1996,Antioquia,VALDIVIA,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,5
76628,1998,Antioquia,ANGOSTURA,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,4
78037,2003,Atlántico,MALAMBO,Sicariato,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
78639,1985,"Bogotá D.C.","Bogotá D.C.",Sicariato,Agente del Estado,Ej�rcito Nacional,4
80065,1996,Bolívar,CALAMAR,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,5
80572,1998,Bolívar,EL CARMEN DE Bolívar,Ataque Indiscriminado,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
81882,1998,Bolívar,ACH?,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
83664,2000,Caldas,LA DORADA,Desconocida,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
83932,2001,Caldas,LA DORADA,Asalto,Grupo Paramilitar,Autodefensas Campesinas del Magdalena Medio,5
86613,1998,Caquetá,CURILLO,Ret�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
87114,1998,Caquetá,EL PAUJ?L,Desconocida,Grupo Paramilitar,No Identificado,5
87298,1998,Caquetá,LA MONTA�ITA,Sicariato,Grupo Armado No Identificado,No Aplica,5
87942,2002,Caquetá,SAN JOS� DEL FRAGUA,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,6
87974,2005,Caquetá,SAN JOS� DEL FRAGUA,Desconocida,Grupo Paramilitar,No Identificado,4
89395,1984,Cauca,CALOTO,Asalto,Agente del Estado,Polic�a Nacional,10
92598,2003,La Guajira,MAICAO,Ataque Indiscriminado,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
92665,2005,Cesar,VALLEDUPAR,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
92990,1996,Cesar,AGUACHICA,Asalto,Grupo Paramilitar,Autodefensas Campesinas del Sur del Cesar,6
93386,1993,Cesar,AGUACHICA,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,5
93410,1992,Cesar,AGUACHICA,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,4
95261,1996,Cesar,BOSCONIA,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
95566,1998,Cesar,LA JAGUA DE IBIRICO,Reuni�n P�blica,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
96825,2002,Cesar,SAN DIEGO,Retenci�n/Ejecuci�n,Guerrilla,FARC,4
98130,2002,Córdoba,MONTEL?BANO,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
99901,1988,Cundinamarca,EL PE�?N,Retenci�n/Ejecuci�n,Guerrilla,FARC,5
100649,1998,Cundinamarca,PARATEBUENO,Ruta,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
102446,2007,Chocó,ISTMINA,Enga�o,Grupo Posdesmovilización,Los Rastrojos,4
105517,2005,La Guajira,MAICAO,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
105564,2000,La Guajira,MAICAO,Sicariato,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
105630,2002,La Guajira,MAICAO,Sicariato,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
105646,2002,La Guajira,MAICAO,Retenci�n/Ejecuci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
106422,1988,Magdalena,SANTA MARTA,Ruta,Grupo Paramilitar,Otro,5
107728,2002,Magdalena,SANTA MARTA,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,4
108305,1988,Magdalena,CI�NAGA,Ruta,Grupo Paramilitar,Otro,5
109656,1995,Magdalena,EL RET�N,Asalto,Grupo Paramilitar,No Identificado,4
110073,1993,Magdalena,ARACATACA,Retenci�n/Ejecuci�n,Grupo Paramilitar,Otro,5
110860,1997,Magdalena,SANTA ANA,Desconocida,Grupo Paramilitar,No Identificado,4
111718,2002,Meta,VILLAVICENCIO,Sicariato,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,5
114972,1988,Meta,VISTAHERMOSA,Interceptaci�n,Guerrilla,No Identificada,4
