id,ano,dept,municipio,presuntoRes,desPresuntoRes,num
13374,1999,Caquetá,PUERTO RICO,Guerrilla,FARC,24
29549,2011,Norte de Santander,C?CUTA,Guerrilla,FARC,1
49150,1981,Antioquia,MEDELL?N,Grupo Paramilitar,Muerte a Secuestradores (MAS),1
60878,1998,Antioquia,COCORN?,Guerrilla,ELN,3
60892,2001,Antioquia,COCORN?,Guerrilla,ELN,1
65285,2000,Antioquia,RETIRO,Grupo Armado No Identificado,No aplica,1
66221,2012,Antioquia,MUTAT?,Agente del Estado - Grupo Posdesmovilización,,2
73321,2005,Antioquia,TARAZ?,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
79491,2008,"Bogotá D.C.","Bogotá D.C.",Guerrilla,FARC,1
86252,2001,Caquetá,BEL�N DE LOS ANDAQU?ES,Agente del Estado - Grupo Paramilitar,,2
87415,1999,Caquetá,LA MONTA�ITA,Guerrilla,FARC,1
88696,2003,Caquetá,VALPARA?SO,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
92152,2004,Cesar,VALLEDUPAR,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,3
93243,2003,Cesar,AGUACHICA,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,2
95471,1982,Cesar,GAMARRA,Guerrilla,FARC,2
98478,1989,Córdoba,PUERTO LIBERTADOR,Guerrilla,EPL,1
102517,2005,Chocó,QUIBD?,Guerrilla,FARC,1
103666,2014,Huila,ISNOS,Grupo Posdesmovilización,Urabe�os/Autodefensas Gaitanistas de Colombia/?guilas Negras/Clan ?suga,1
104360,2006,Huila,SAN AGUST?N,Guerrilla,No Identificada,1
104504,1975,La Guajira,RIOHACHA,Grupo Armado No Identificado,No aplica,1
110951,2005,Magdalena,SITIONUEVO,Grupo Paramilitar,No Identificado,1
113157,2000,Meta,GRANADA,Grupo Paramilitar,No Identificado,1
119506,2000,Norte de Santander,CONVENCI?N,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,1
120987,2001,Norte de Santander,RAGONVALIA,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
121330,1998,Norte de Santander,TEORAMA,Guerrilla,ELN,2
125697,1982,Santander,BARRANCABERMEJA,Grupo Paramilitar,No Identificado,1
125711,1985,Santander,BARRANCABERMEJA,Grupo Armado No Dirimido,,1
128384,2000,Santander,RIONEGRO,Desconocido,No Aplica,2
128448,1989,Santander,RIONEGRO,Guerrilla,ELN,1
128470,2000,Santander,RIONEGRO,Grupo Armado No Identificado,Presencia GAO sin Atribuci�n,1
129115,1992,Santander,SAN VICENTE DE CHUCUR?,Guerrilla,ELN,1
135714,2004,Valle del Cauca,BUENAVENTURA,Grupo Paramilitar,No Identificado,1
138777,2014,EXTERIOR,FRONTERA VENEZUELA,Guerrilla,ELN,1
139101,2003,Arauca,FORTUL,Guerrilla,FARC,1
139666,2014,Arauca,SARAVENA,Guerrilla,ELN,1
139783,1999,Arauca,TAME,Guerrilla,ELN,1
141806,2002,Putumayo,MOCOA,Grupo Armado No Identificado,No aplica,2
161356,1999,Cesar,EL COPEY,Guerrilla,No Identificada,1
169308,1995,Norte de Santander,TEORAMA,Guerrilla,ELN,1
169511,2000,Norte de Santander,TIB?,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
180929,2001,Antioquia,COCORN?,Guerrilla,ELN,1
206097,1995,Guaviare,MIRAFLORES,Guerrilla,FARC,1
209819,2005,Antioquia,SAN CARLOS,Grupo Paramilitar,No Identificado,1
216895,1988,Antioquia,RIONEGRO,Grupo Paramilitar,Los Tangueros,1
219028,1990,Santander,SABANA DE TORRES,Grupo Armado No Identificado,No Aplica,1
219619,1990,Sucre,SINCELEJO,Grupo Armado No Identificado,No aplica,1
224073,1994,Boyacá,PUERTO Boyacá,Grupo Paramilitar,No Identificado,2
224118,1993,Santander,BUCARAMANGA,Guerrilla,No Identificada,1
230053,1996,Meta,LA MACARENA,Guerrilla,FARC,5
230407,1996,Cauca,MIRANDA,Guerrilla,FARC,1
235570,1996,Caquetá,CARTAGENA DEL CHAIR?,Guerrilla,FARC,1
251848,2001,Cundinamarca,EL COLEGIO,Guerrilla,FARC,1
257554,2002,Chocó,ISTMINA,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
259690,2002,Antioquia,EL CARMEN DE VIBORAL,Grupo Paramilitar,No Identificado,2
260614,2002,Cesar,AGUACHICA,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
263116,2003,Norte de Santander,OCA�A,Grupo Armado No Identificado,No Aplica,1
266586,2003,Tolima,L�RIDA,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
269473,2005,Caldas,ANSERMA,Guerrilla,Disidencia EPL,1
269657,2004,La Guajira,MAICAO,Grupo Paramilitar,No Identificado,1
269963,2004,Tolima,CASABIANCA,Guerrilla,ELN,1
277142,2005,Meta,GRANADA,Guerrilla,FARC,1
281628,2000,Caquetá,FLORENCIA,Grupo Paramilitar,No Identificado,1
281955,2005,Caldas,ANSERMA,Guerrilla,Disidencia EPL,1
283993,2002,Tolima,PRADO,Grupo Armado No Identificado,No Aplica,1
292363,2002,Valle del Cauca,CALI,Guerrilla,FARC,12
319817,2001,Cauca,ARGELIA,Guerrilla,FARC,1
319818,2001,Bolívar,CANTAGALLO,Desconocido,No aplica,1
319819,2002,Caldas,SAMAN?,Guerrilla,FARC,1
319823,1985,Valle del Cauca,RIOFR?O,Guerrilla,M-19,1
319825,1986,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319826,1978,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319827,1982,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319828,1985,Valle del Cauca,ROLDANILLO,Guerrilla,M-19,1
319829,1983,Valle del Cauca,YUMBO,Guerrilla,M-19,2
319831,1985,Valle del Cauca,RIOFR?O,Guerrilla,M-19,1
319836,1996,Valle del Cauca,SIN INFORMACION,Guerrilla,"Disidencia M-19 ""Jaime Bateman Cay�n""",1
319838,1975,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319840,1977,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319841,1980,Caquetá,LA MONTA�ITA,Guerrilla,M-19,1
319858,1980,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319859,1980,Boyacá,GARAGOA,Guerrilla,M-19,1
319865,1981,Caquetá,PUERTO RICO,Guerrilla,M-19,1
319866,1981,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319867,1981,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319868,1981,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319869,1981,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319870,1981,Caquetá,FLORENCIA,Guerrilla,M-19,1
319871,1981,Putumayo,MOCOA,Guerrilla,M-19,1
319872,1981,Putumayo,MOCOA,Guerrilla,M-19,1
319873,1981,Putumayo,MOCOA,Guerrilla,M-19,1
319875,1981,Cauca,SILVIA,Guerrilla,M-19,1
319876,1981,Caquetá,SAN VICENTE DEL CAGU?N,Guerrilla,M-19,1
319877,1981,Tolima,ESPINAL,Guerrilla,M-19,1
319878,1981,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319879,1981,Valle del Cauca,YUMBO,Guerrilla,M-19,1
319880,1981,Caquetá,FLORENCIA,Guerrilla,M-19,1
319882,1981,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,2
319883,1981,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319884,1981,Caquetá,ALBANIA,Guerrilla,M-19,1
319885,1981,Putumayo,PUERTO AS?S,Guerrilla,M-19,1
319887,1981,Antioquia,MEDELL?N,Guerrilla,M-19,1
319888,1981,Caquetá,MORELIA,Guerrilla,M-19,1
319889,1981,Huila,GARZ?N,Guerrilla,M-19,1
319890,1981,Caquetá,ALBANIA,Guerrilla,M-19,1
319892,1982,Caquetá,FLORENCIA,Guerrilla,M-19,1
319893,1982,Caquetá,FLORENCIA,Guerrilla,M-19,1
319894,1982,Caquetá,MORELIA,Guerrilla,M-19,1
319895,1982,Caquetá,FLORENCIA,Guerrilla,M-19,1
319896,1982,Valle del Cauca,ANSERMANUEVO,Guerrilla,M-19,1
319897,1982,Putumayo,MOCOA,Guerrilla,M-19,1
319898,1982,Caquetá,LA MONTA�ITA,Guerrilla,M-19,1
319899,1982,Atlántico,BARRANQUILLA,Guerrilla,M-19,1
319900,1982,Atlántico,BARRANQUILLA,Guerrilla,M-19,3
319902,1982,Valle del Cauca,CALI,Guerrilla,M-19,1
319903,1982,Huila,GARZ?N,Guerrilla,M-19,1
319904,1982,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319905,1982,Caquetá,MORELIA,Guerrilla,M-19,1
319906,1982,Valle del Cauca,CALI,Guerrilla,M-19,1
319907,1982,Valle del Cauca,CALI,Guerrilla,M-19,1
319908,1982,Santander,BUCARAMANGA,Guerrilla,M-19,1
319909,1982,Santander,BUCARAMANGA,Guerrilla,M-19,1
319910,1983,Guaviare,SAN JOS� DEL Guaviare,Guerrilla,M-19,1
319911,1983,"Bogotá D.C.","Bogotá D.C.",Guerrilla,M-19,1
319912,1983,Cauca,POPAY?N,Guerrilla,M-19,1
319913,1983,Norte de Santander,EL ZULIA,Guerrilla,M-19,1
319914,1983,Antioquia,MARINILLA,Guerrilla,M-19,1
319915,1983,Antioquia,MARINILLA,Guerrilla,M-19,1
319916,1983,Antioquia,MARINILLA,Guerrilla,M-19,1
319917,1983,Antioquia,MARINILLA,Guerrilla,M-19,1
319918,1983,Valle del Cauca,CARTAGO,Guerrilla,M-19,1
