ano,dept,municipio,modalidad,presuntoRes,desPresuntoRes,num
1997,Caldas,RIOSUCIO,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,1
2001,Santander,RIONEGRO,Falso Positivo,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,2
0,Cesar,PUEBLO BELLO,Desconocida,Grupo Posdesmovilizaci�n,No Identificado,1
0,SIN INFORMACION,SIN INFORMACION,Coerci�n,Guerrilla,No Identificada,1
0,Norte de Santander,SIN INFORMACION,Coerci�n,Guerrilla,FARC,1
0,SIN INFORMACION,SIN INFORMACION,Coerci�n,Guerrilla,FARC,1
0,SIN INFORMACION,SIN INFORMACION,Enga�o Laboral,Guerrilla,FARC,1
0,Magdalena,EL RET�N,Desconocida,Guerrilla,FARC,1
0,Putumayo,SIN INFORMACION,Retenci�n,Guerrilla,FARC,1
0,SIN INFORMACION,SIN INFORMACION,Coerci�n,Guerrilla,FARC,1
0,SIN INFORMACION,SIN INFORMACION,Coerci�n,Guerrilla,FARC,1
0,Huila,SIN INFORMACION,Retenci�n,Guerrilla,FARC,1
0,SIN INFORMACION,SIN INFORMACION,Retenci�n,Agente del Estado,Ej�rcito Nacional,1
0,Putumayo,PUERTO AS?S,Coerci�n,Grupo Paramilitar,No Identificado,1
0,Norte de Santander,TIB?,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
0,SIN INFORMACION,SIN INFORMACION,Enga�o Laboral,Grupo Paramilitar,No Identificado,1
0,SIN INFORMACION,SIN INFORMACION,Desconocida,Grupo Paramilitar,No Identificado,1
0,Antioquia,APARTAD?,Desconocida,Grupo Paramilitar,No Identificado,1
0,Antioquia,CHIGOROD?,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,1
0,Antioquia,MEDELL?N,Desconocida,Grupo Armado No Identificado,No aplica,1
0,Bolívar,EL CARMEN DE Bolívar,Desconocida,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
0,Caquetá,SAN JOS� DEL FRAGUA,Asalto,Grupo Paramilitar,No Identificado,1
0,SIN INFORMACION,SIN INFORMACION,Asalto,Grupo Paramilitar,No Identificado,1
0,Magdalena,CHIVOLO,Desconocida,Grupo Paramilitar,No Identificado,1
0,Norte de Santander,TIB?,Desconocida,Grupo Paramilitar,No Identificado,2
0,Norte de Santander,TIB?,Retenci�n/Ejecuci�n,Grupo Paramilitar,No Identificado,1
0,Norte de Santander,TIB?,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,3
0,Norte de Santander,TIB?,Desconocida,Grupo Paramilitar,No Identificado,1
0,Norte de Santander,HACAR?,Coerci�n,Grupo Paramilitar,No Identificado,1
0,SIN INFORMACION,SIN INFORMACION,Interceptaci�n,Grupo Paramilitar,No Identificado,5
0,Santander,SIN INFORMACION,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
0,Santander,SIN INFORMACION,Desconocida,Grupo Paramilitar,No Identificado,1
0,Santander,SAN VICENTE DE CHUCUR?,Coerci�n,Grupo Paramilitar,No Identificado,1
0,SIN INFORMACION,SIN INFORMACION,Asalto,Grupo Paramilitar,No Identificado,1
0,Sucre,SAN ONOFRE,Coerci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
0,Sucre,SAN ONOFRE,Retenci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,2
0,Norte de Santander,TIB?,Desconocida,Grupo Paramilitar,No Identificado,1
0,SIN INFORMACION,SIN INFORMACION,Coerci�n,Grupo Paramilitar,No Identificado,1
0,Meta,SIN INFORMACION,Asalto,Grupo Posdesmovilizaci�n,Otro,2
0,Meta,SIN INFORMACION,Asalto,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
0,Meta,VISTAHERMOSA,Citaci�n,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,1
0,Meta,SIN INFORMACION,Desconocida,Guerrilla,No Identificada,1
0,"Bogotá D.C.","Bogotá D.C.",Asalto,Grupo Armado No Identificado,No aplica,1
