IdCaso,IdCasoRelacionado,DIAH,MESH,ANNOH,COD_DANE_MUN,REGION,DEPTO_CASO,MUNINICIO_CASO,Modalidad,TipoArmas,PRESUNTO_REPONSABLE1,DESCRIPCION_PRESUNTO_RESPONSABLE1,AbandonoDespojoForzadoTierras,AmenazaIntimidacion,AtaqueContraMisionMedica,ConfinamientoRestriccionMovilidad,DesplazamientoForzado,Extorsion,LesionadosCiviles,Pillaje,Tortura,ViolenciaBasadaGenero,OtroHechoSimultaneo,NumeroVictimasCaso,Estado
235240,CR040054,3,12,1997,17614,EJE CAFETERO,CALDAS,RIOSUCIO,Retenci¢n/Ejecuci¢n,Arma Corto Punzante,Grupo Paramilitar,No Identificado,0,1,0,0,1,0,0,0,0,,Sevicia,1,Publicado
251906,CR021706,10,6,2001,68615,MAGDALENA MEDIO,SANTANDER,RIONEGRO,Falso Positivo,Arma de Fuego,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,1,0,0,0,0,0,0,2,,,2,Publicado
359623,,0,0,0,20570,SIERRA NEVADA DE SANTA MARTA,CESAR,PUEBLO BELLO,Desconocida,ND,Grupo Posdesmovilizaci¢n,No Identificado,0,0,0,0,0,0,0,0,0,,,1,Publicado
359624,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Coerci¢n,ND,Guerrilla,No Identificada,0,0,0,0,0,0,0,0,0,,,1,Publicado
359625,CR004865,0,0,0,54000,,NORTE DE SANTANDER,SIN INFORMACION,Coerci¢n,ND,Guerrilla,FARC,0,0,0,0,0,0,0,0,0,,,1,Publicado
359626,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Coerci¢n,ND,Guerrilla,FARC,0,0,0,0,0,0,0,0,0,,,1,Publicado
359627,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Enga§o Laboral,ND,Guerrilla,FARC,0,0,0,0,0,0,0,0,0,,,1,Publicado
359628,,0,0,0,47268,CIENAGA GRANDE DE SANTA MARTA,MAGDALENA,EL RETêN,Desconocida,ND,Guerrilla,FARC,0,0,0,0,0,0,0,0,0,,,1,Publicado
359629,CR004866,0,0,0,86000,,PUTUMAYO,SIN INFORMACION,Retenci¢n,ND,Guerrilla,FARC,0,0,0,0,0,0,1,0,0,Matrimonio o Cohabitaci¢n Forzada,,1,Publicado
359630,CR047877,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Coerci¢n,ND,Guerrilla,FARC,0,0,0,0,0,0,0,0,0,,,1,Publicado
359631,CR047878,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Coerci¢n,ND,Guerrilla,FARC,0,1,0,0,0,0,0,0,0,,,1,Publicado
359632,,0,0,0,41000,,HUILA,SIN INFORMACION,Retenci¢n,ND,Guerrilla,FARC,0,1,0,0,0,0,0,0,0,Violencia Psicol¢gica,,1,Publicado
359633,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Retenci¢n,ND,Agente del Estado,EjÇrcito Nacional,0,1,0,0,0,0,1,0,0,Violencia Psicol¢gica,,1,Publicado
359634,,0,0,0,86568,BAJO PUTUMAYO,PUTUMAYO,PUERTO AS?S,Coerci¢n,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,1,Violencia Psicol¢gica,,1,Publicado
359635,,0,0,0,54810,CATATUMBO,NORTE DE SANTANDER,TIB?,Asalto,Arma de Fuego,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,1,0,0,0,0,,,1,Publicado
359636,,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Enga§o Laboral,Arma Corto Punzante - Otro,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,1,Publicado
359637,CR009018,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Desconocida,Arma Corto Punzante - Asfixia Mec†nica,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,1,,,1,Publicado
359638,,0,0,0,5045,URABA,ANTIOQUIA,APARTAD?,Desconocida,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,1,Publicado
359639,CR009027,0,0,0,5172,URABA,ANTIOQUIA,CHIGOROD?,Retenci¢n/Ejecuci¢n,Arma de Fuego - Otro,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,1,Publicado
359640,,0,0,0,5001,VALLE DE ABURRA,ANTIOQUIA,MEDELL?N,Desconocida,ND,Grupo Armado No Identificado,No aplica,0,0,0,0,0,0,0,0,0,,,1,Publicado
359641,,0,0,0,13244,MONTES DE MARIA,BOL?VAR,EL CARMEN DE BOL?VAR,Desconocida,ND,Grupo Paramilitar,Autodefensas Unidas de Colombia AUC,0,0,0,0,0,0,0,0,0,,,1,Publicado
359642,,0,0,0,18610,FLORENCIA Y AREA DE INFLUENCIA,CAQUET?,SAN JOSê DEL FRAGUA,Asalto,ND,Grupo Paramilitar,No Identificado,0,0,0,0,1,0,0,0,0,,,1,Publicado
359643,CR009033,0,0,0,0,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,Asalto,Arma Corto Punzante,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,1,,,1,Publicado
359644,,0,0,0,47170,CIENAGA GRANDE DE SANTA MARTA,MAGDALENA,CHIVOLO,Desconocida,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,1,Publicado
359645,CR009038,0,0,0,54810,CATATUMBO,NORTE DE SANTANDER,TIB?,Desconocida,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,2,Publicado
359647,CR009039,0,0,0,54810,CATATUMBO,NORTE DE SANTANDER,TIB?,Retenci¢n/Ejecuci¢n,ND,Grupo Paramilitar,No Identificado,0,0,0,0,0,0,0,0,0,,,1,Publicado
